wikipedia_title,wikipedia_url,question_original,question,question_type,answer,evidence,evidence_section_id,evidence_section_title,dataset_name,dataset_category_id,wikipedia_url_used_in_train,encyclopedic_vqa_split,dataset_image_ids
Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,What does this animal eat?,What does this animal eat?,templated, sponges and small bacteria|sponges and small bacteria|sponges and small bacteria.,They mainly feed on sponges and small bacteria|They mainly feed on sponges and small bacteria|They mainly feed on sponges and small bacteria.,7,Trophic strategy|Trophic strategy|Trophic strategy,inaturalist,5204,False,test,2721045
Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,How big is an adult of this animal?,How big is an adult of this animal?,templated,over 8 cm|8-12cm|12 cm,The species is relatively small; the diameter is usually over 8 cm and rarely gets larger than 12 cm|the diameter is usually over 8 cm and rarely gets larger than 12 cm|The species is relatively small; the diameter is usually over 8 cm and rarely gets larger than 12 cm.,1,Description|Description|Description,inaturalist,5204,False,test,2703023
Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,What is a common parasite for this animal?,What is a common parasite for this animal?,templated,Arctonoe vittata.|Arctonoe vittata|Arctonoe vittata,"They often have a commensal scaleworm, Arctonoe vittata.|They often have a commensal scaleworm, Arctonoe vittata.|They often have a commensal scaleworm, Arctonoe vittata.",5,Habitat|Habitat|Habitat,inaturalist,5204,False,test,2778308
Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,What is the common name for this animal?,What is the common name for this animal?,templated,"common desert centipede, tiger centipede, banded desert centipede, or Sonoran Desert centipede| tiger centipede|common desert centipede, tiger centipede, banded desert centipede, or Sonoran Desert centipede","Scolopendra polymorpha, the common desert centipede, tiger centipede, banded desert centipede, or Sonoran Desert centipede, is indigenous to the Southwestern United States|so they are also known as the tiger centipede or tiger-striped centipede|Scolopendra polymorpha, the common desert centipede, tiger centipede, banded desert centipede, or Sonoran Desert centipede",0,Scolopendra polymorpha|Scolopendra polymorpha|Scolopendra polymorpha,inaturalist,160,False,test,2763873
Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,In which part of the world does this animal live?,In which part of the world does this animal live?,templated,"Southwestern United States and northern Mexico| Southwestern United States and northern Mexico|Southwestern United States and northern Mexico, Pacific coast","Sonoran Desert centipede, is indigenous to the Southwestern United States and northern Mexico, north to the Pacific coast.|Sonoran Desert centipede, is indigenous to the Southwestern United States and northern Mexico|is indigenous to the Southwestern United States and northern Mexico, north to the Pacific coast.",0,Scolopendra polymorpha|Scolopendra polymorpha|Scolopendra polymorpha,inaturalist,160,False,test,2763873
Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,Is this animal edible?,Is this animal edible?,templated,No,The venom of Scolopendra polymorpha has been found to be medically relevant,1,Venom,inaturalist,160,False,test,2698987
Scolopendra polymorpha,https://en.wikipedia.org/wiki/Scolopendra_polymorpha,How big is an adult of this animal?,How big is an adult of this animal?,templated, 4–7 in| 4–7 in|4–7 in,Their bodies generally reach 4–7 in (10–18 cm) in length|Their bodies generally reach 4–7 in (10–18 cm) in length|Their bodies generally reach 4–7 in (10–18 cm) in length,0,Scolopendra polymorpha|Scolopendra polymorpha|Scolopendra polymorpha,inaturalist,160,False,test,2686981
Emerita talpoida,https://en.wikipedia.org/wiki/Emerita_talpoida,What is the common name for this animal?,What is the common name for this animal?,templated, Atlantic mole crab or Atlantic sand crab|Atlantic mole crab|Atlantic mole crab or Atlantic sand crab,"Emerita talpoida, known generally as the Atlantic mole crab or Atlantic sand crab,|Emerita talpoida, known generally as the Atlantic mole crab or Atlantic sand crab|Emerita talpoida, known generally as the Atlantic mole crab or Atlantic sand crab",0,Emerita talpoida|Emerita talpoida|Emerita talpoida,inaturalist,2721,True,test,2755111
Ovalipes ocellatus,https://en.wikipedia.org/wiki/Ovalipes_ocellatus,What does this animal eat?,What does this animal eat?,templated,molluscs| molluscs,"It feeds mostly on molluscs, particularly the Atlantic surf clam Spisula solidissima|It feeds mostly on molluscs, particularly the Atlantic surf clam Spisula solidissima.",5,Ecology|Ecology,inaturalist,2714,True,test,2705836
Ovalipes ocellatus,https://en.wikipedia.org/wiki/Ovalipes_ocellatus,How big is an adult of this animal?,How big is an adult of this animal?,templated,"8.9 centimeters wide and 7.5 cm long|8.9 centimetres wide,7.5 cm long|8.9 centimetres wide and 7.5cm long","The carapace of O. ocellatus is slightly wider than long, at 8.9 centimetres (3.5 in) wide, and 7.5 cm (3.0 in) long.|The carapace of O. ocellatus is slightly wider than long, at 8.9 centimetres (3.5 in) wide, and 7.5 cm (3.0 in) long|The carapace of O. ocellatus is slightly wider than long, at 8.9 centimetres (3.5 in) wide, and 7.5 cm (3.0 in) long.",2,Description|Description|Description,inaturalist,2714,True,test,2767274
Echinometra mathaei,https://en.wikipedia.org/wiki/Echinometra_mathaei,In which part of the world does this animal live?,In which part of the world does this animal live?,templated,Indo-Pacific region|Indo-Pacific region|Indo-Pacific region,It occurs in shallow waters in the Indo-Pacific region.|It occurs in shallow waters in the Indo-Pacific region|It occurs in shallow waters in the Indo-Pacific region,0,Echinometra mathaei|Echinometra mathaei|Echinometra mathaei,inaturalist,5209,True,test,2689345
Guinusia chabrus,https://en.wikipedia.org/wiki/Guinusia_chabrus,In which part of the world does this animal live?,In which part of the world does this animal live?,templated,"southern Indian and southern Pacific Oceans,|southern Indian and southern Pacific Oceans| southern Indian, southern Pacific Oceans ","It is found in the southern Indian and southern Pacific Oceans, including South Africa, Australia, New Zealand, and Chile.|It is found in the southern Indian and southern Pacific Oceans, including South Africa, Australia, New Zealand, and Chile.|It is found in the southern Indian and southern Pacific Oceans, including South Africa, Australia, New Zealand, and Chile.",0,Guinusia chabrus|Guinusia chabrus|Guinusia chabrus,inaturalist,2735,True,test,2692662
Xeromphalina campanella,https://en.wikipedia.org/wiki/Xeromphalina_campanella,What is the typical size of this fungi?,What is the typical size of this fungi?,templated,5–2 cm|.5–2 cm|.5–2 cm,"The fruit body of X. campanella has a small umbrella-shaped cap, about .5–2 cm wide|The fruit body of X. campanella has a small umbrella-shaped cap, about .5–2 cm wide|The fruit body of X. campanella has a small umbrella-shaped cap, about .5–2 cm wide.",1,Description|Description|Description,inaturalist,5591,True,test,2763121
Ganoderma brownii,https://en.wikipedia.org/wiki/Ganoderma_brownii,"On what does this fungi typically grow? (e.g. tree, soil, etc)",On what does this fungi typically grow? ,templated,conifers and hardwoods|conifers and hardwoods|conifers and hardwoods,"It parasitizes both conifers and hardwoods, with a preference for the latter.|. It parasitizes both conifers and hardwoods, with a preference for the latter|It parasitizes both conifers and hardwoods, with a preference for the latter.",2,Description|Description|Description,inaturalist,5678,False,test,2697854
Ganoderma brownii,https://en.wikipedia.org/wiki/Ganoderma_brownii,What is the typical size of this fungi?,What is the typical size of this fungi?,templated, 5–65 cm| 5–65 cm|   5–65 cm,"It is a perennial, sessile, concentrically zonate polypore that is 5–65 cm (2.0–25.6 in) in length|It is a perennial, sessile, concentrically zonate polypore that is 5–65 cm (2.0–25.6 in)|It is a perennial, sessile, concentrically zonate polypore that is 5–65 cm (2.0–25.6 in) in length",2,Description|Description|Description,inaturalist,5678,False,test,2695109
Ganoderma brownii,https://en.wikipedia.org/wiki/Ganoderma_brownii,With which other fungus is this fungus often confused?,With which other fungus is this fungus often confused?,templated,Ganoderma applanatum|Ganoderma applanatum.|Ganoderma applanatum,It is a plant pathogen and occasional saprotroph similar in appearance to Ganoderma applanatum.|It is a plant pathogen and occasional saprotroph similar in appearance to Ganoderma applanatum|It is a plant pathogen and occasional saprotroph similar in appearance to Ganoderma applanatum.,0,Ganoderma brownii|Ganoderma brownii|Ganoderma brownii,inaturalist,5678,False,test,2754845
Bulgaria inquinans,https://en.wikipedia.org/wiki/Bulgaria_inquinans,Is this fungus edible?,Is this fungus edible?,templated,No|no|No,The species is inedible|The species is inedible.|The species is inedible.,1,Description|Description|Description,inaturalist,5450,False,test,2767158
Bulgaria inquinans,https://en.wikipedia.org/wiki/Bulgaria_inquinans,"On what does this fungi typically grow? (e.g. tree, soil, etc)",On what does this fungi typically grow? ,templated,"oak and hornbeam|branches, bark of dead oak ,hornbeam|branches,bark of dead oak and hornbeam.",It grows on branches and bark of dead oak and hornbeam|It grows on branches and bark of dead oak and hornbeam|It grows on branches and bark of dead oak and hornbeam.,0,Bulgaria inquinans|Bulgaria inquinans|Bulgaria inquinans,inaturalist,5450,False,test,2724915
Bulgaria inquinans,https://en.wikipedia.org/wiki/Bulgaria_inquinans,What is the typical size of this fungi?,What is the typical size of this fungi?,templated, 0.5 and 4 cm |0.5 and 4 cm|0.5 and 4 cm,The cap of Bulgaria inquinans generally has a diameter between 0.5 and 4 cm (0.19 in to 1.6 in)|The cap of Bulgaria inquinans generally has a diameter between 0.5 and 4 cm (0.19 in to 1.6 in)|The cap of Bulgaria inquinans generally has a diameter between 0.5 and 4 cm (0.19 in to 1.6 in),1,Description|Description|Description,inaturalist,5450,False,test,2773102
Xanthoria parietina,https://en.wikipedia.org/wiki/Xanthoria_parietina,Which animals eat this fungus?,Which animals eat this fungus?,templated,snail |snail |snail Balea perversa,The lichen is used as a food source and shelter for the snail Balea perversa.|The lichen is used as a food source and shelter for the snail Balea perversa.|The lichen is used as a food source and shelter for the snail Balea perversa.,5,Habitat and distribution|Habitat and distribution|Habitat and distribution,inaturalist,5443,True,test,2765974
Lactarius alnicola,https://en.wikipedia.org/wiki/Lactarius_alnicola,Is this fungus edible?,Is this fungus edible?,templated,No|no|No,The mushroom is considered inedible because of the intensely peppery taste.|The mushroom is considered inedible because of the intensely peppery taste.|The mushroom is considered inedible because of the intensely peppery taste.,2,Description|Description|Description,inaturalist,5703,False,test,2735879
Lactarius alnicola,https://en.wikipedia.org/wiki/Lactarius_alnicola,"On what does this fungi typically grow? (e.g. tree, soil, etc)",On what does this fungi typically grow? ,templated,"coniferous trees|coniferous trees|mycorrhizal , coniferous trees","it grows in mycorrhizal associations with various coniferous trees species|it grows in mycorrhizal associations with various coniferous trees species|grows in mycorrhizal associations with various coniferous trees species, such as spruce, pine and fir, and deciduous species such as oak and alder.",0,Lactarius alnicola|Lactarius alnicola|Lactarius alnicola,inaturalist,5703,False,test,2733430
Lactarius alnicola,https://en.wikipedia.org/wiki/Lactarius_alnicola,With which other fungus is this fungus often confused?,With which other fungus is this fungus often confused?,templated,L. alnicola| L. alnicola.|L. scrobiculatus,Mature fruit bodies of L. scrobiculatus var. montanus have been confused with L. alnicola.|montanus have been confused with L. alnicola|Mature fruit bodies of L. scrobiculatus var. montanus have been confused with L. alnicola.,5,Similar species|Similar species|Similar species,inaturalist,5703,False,test,2732415
Zale lunata,https://en.wikipedia.org/wiki/Zale_lunata,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated,40–55 mm| 40–55 mm|40–55 mm,The wingspan is 40–55 mm|The wingspan is 40–55 mm|The wingspan is 40–55 mm,0,Zale lunata|Zale lunata|Zale lunata,inaturalist,1138,True,test,2735283
Bombus perplexus,https://en.wikipedia.org/wiki/Bombus_perplexus,What does [this insect] eat?,What does this insect eat?,templated,"plants|Plants | bellflowers, thistles, honeysuckles, penstemons, pickerel weeds, and lindens.","It feeds on many kinds of plants, such as bellflowers, thistles, honeysuckles, penstemons, pickerel weeds, and lindens|It feeds on many kinds of plants, such as bellflowers, thistles, honeysuckles, penstemons, pickerel weeds, and lindens.|It feeds on many kinds of plants, such as bellflowers, thistles, honeysuckles, penstemons, pickerel weeds, and lindens.",0,Bombus perplexus|Bombus perplexus|Bombus perplexus,inaturalist,697,True,test,2720872
Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated,86 to 89 mm|86 to 89 mm|86 to 89 mm,Its wingspan ranges from 86 to 89 mm|Its wingspan ranges from 86 to 89 mm|Its wingspan ranges from 86 to 89 mm,0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,inaturalist,1839,False,test,2775076
Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,What does [this insect] eat?,What does this insect eat?,templated," nectar, bird droppings|nectar of flowers ,bird droppings|nectar, bird droppings",It feeds primarily on the nectar of flowers and on bird droppings|It feeds primarily on the nectar of flowers and on bird droppings|It feeds primarily on the nectar of flowers and on bird droppings,0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,inaturalist,1839,False,test,2729965
Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,Brazil to central Mexico| Brazil to central Mexico|Brazil to central Mexico,"orange tiger, is native from Brazil to central Mexico|orange tiger, is native from Brazil to central Mexico|orange tiger, is native from Brazil to central Mexico",0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,inaturalist,1839,False,test,2690075
Dryadula phaetusa,https://en.wikipedia.org/wiki/Dryadula_phaetusa,Where is [this insect] native?,Where is this insect native?,templated,Brazil to central Mexico| Brazil to central Mexico|Brazil to central Mexico,"orange tiger, is native from Brazil to central Mexico|orange tiger, is native from Brazil to central Mexico|orange tiger, is native from Brazil to central Mexico",0,Dryadula phaetusa|Dryadula phaetusa|Dryadula phaetusa,inaturalist,1839,False,test,2774395
Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated,20–25 mm|20–25 mm|20–25 mm,The wingspan is 20–25 mm|The wingspan is 20–25 mm|The wingspan is 20–25 mm.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,inaturalist,1130,False,test,2764600
Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,What does [this insect] eat?,What does this insect eat?,templated,dead leaves| dead leaves|dead leaves ,Larvae probably feed on dead leaves|Larvae probably feed on dead leaves.|Larvae probably feed on dead leaves.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,inaturalist,1130,False,test,2726620
Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,North America|North America.|North America.,It is found in eastern North America.|It is found in eastern North America.|It is found in eastern North America.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,inaturalist,1130,False,test,2726598
Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,Where is [this insect] native?,Where is this insect native?,templated,North America|North America|North America.,It is found in eastern North America.|It is found in eastern North America.|It is found in eastern North America.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,inaturalist,1130,False,test,2764600
Tetanolita mynesalis,https://en.wikipedia.org/wiki/Tetanolita_mynesalis,Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,May to November|May to November.|May to November.,Adults are on wing from May to November|Adults are on wing from May to November.|Adults are on wing from May to November.,0,Tetanolita mynesalis|Tetanolita mynesalis|Tetanolita mynesalis,inaturalist,1130,False,test,2726598
Platynota rostrana,https://en.wikipedia.org/wiki/Platynota_rostrana,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated,13–17 mm| 13–17 mm.|13–17 mm,The wingspan is 13–17 mm|The wingspan is 13–17 mm.|The wingspan is 13–17 mm.,0,Platynota rostrana|Platynota rostrana|Platynota rostrana,inaturalist,2262,True,test,2755426
Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,What is the wingspan of [this insect]?,What is the wingspan of this insect in mm?,templated,16–20 mm|16–20 mm| 16–20 mm,The wingspan is 16–20 mm|The wingspan is 16–20 mm|The wingspan is 16–20 mm.,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,inaturalist,859,False,test,2766259
Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,What does [this insect] eat?,What does this insect eat?,templated,grasses|grasses|grasses,"The larvae feed on various grasses, such as sheep's fescue (Festuca ovina), smooth meadowgrass (Poa pratensis), and wheat (Triticum aestivum).|The larvae feed on various grasses, such as sheep's fescue (Festuca ovina), smooth meadowgrass (Poa pratensis), and wheat (Triticum aestivum).|The larvae feed on various grasses, such as sheep's fescue (Festuca ovina), smooth meadowgrass (Poa pratensis), and wheat (Triticum aestivum).",0,Agriphila straminella|Agriphila straminella|Agriphila straminella,inaturalist,859,False,test,2762338
Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,In which country or region does [this insect] live?,In which country or region does this insect live?,templated," Europe, Palearctic| Europe, Palearctic|Europe,  Palearctic",found in Europe and east across the Palearctic|found in Europe and east across the Palearctic.|found in Europe and east across the Palearctic.,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,inaturalist,859,False,test,2764632
Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,Where is [this insect] native?,Where is this insect native?,templated,"Europe, Palearctic|Europe, Palearctic.|Europe,  Palearctic",found in Europe and east across the Palearctic|found in Europe and east across the Palearctic.|found in Europe and east across the Palearctic.,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,inaturalist,859,False,test,2778006
Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,Which period of the year is [this insect] active?,Which period of the year is this insect active?,templated,June to September|June to September | June to September,The moth flies from June to September depending on the location|The moth flies from June to September depending on the location.|The moth flies from June to September depending on the location.,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,inaturalist,859,False,test,2711177
Alaus oculatus,https://en.wikipedia.org/wiki/Alaus_oculatus,Where is the nest of [this insect]?,Where is the nest of this insect?,templated,"soil, standing deadwood| soil or standing deadwood|soil , standing deadwood",Eggs are laid in soil or on standing deadwood|Eggs are laid in soil or on standing deadwood|Eggs are laid in soil or on standing deadwood.,2,Life cycle|Life cycle|Life cycle,inaturalist,348,True,test,2732277
Carpocoris mediterraneus,https://en.wikipedia.org/wiki/Carpocoris_mediterraneus,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,Mediterranean region|Mediterranean region|Mediterranean region,"This species is widespread throughout the Mediterranean region (Corsica, Greece, Italy, Morocco, Sardinia, Sicily).|This species is widespread throughout the Mediterranean region (Corsica, Greece, Italy, Morocco, Sardinia, Sicily).|This species is widespread throughout the Mediterranean region (Corsica, Greece, Italy, Morocco, Sardinia, Sicily).",2,Distribution|Distribution|Distribution,inaturalist,611,True,test,2786362
Charadra dispulsa,https://en.wikipedia.org/wiki/Charadra_dispulsa,In which country or region does [this insect] live?,In which country or region does this insect live?,templated,"Texas, Mexico|Texas, Mexico|Texas and Mexico","Its range spans from Texas southward and westward to at least San Luis Potosí, Mexico|ts range spans from Texas southward and westward to at least San Luis Potosí, Mexico.|Its range spans from Texas southward and westward to at least San Luis Potosí, Mexico.",0,Charadra dispulsa|Charadra dispulsa|Charadra dispulsa,inaturalist,1594,True,test,2701560
Micrurus tener,https://en.wikipedia.org/wiki/Micrurus_tener,What does this reptile eat?,What does this reptile eat?,templated,"earth snakes, fossorial species|earth snakes, fossorial species|earth snakes, fossorial species","The primary diet of M. tener consists of other snakes, primarily earth snakes, and other small fossorial species|The primary diet of M. tener consists of other snakes, primarily earth snakes, and other small fossorial species|e primary diet of M. tener consists of other snakes, primarily earth snakes, and other small fossorial species",4,Diet|Diet|Diet,inaturalist,4995,True,test,2699795
Sauromalus ater,https://en.wikipedia.org/wiki/Sauromalus_ater,"What is the habitat of this reptile? (e.g. swamp, mountain, desert etc.)",What is the habitat of this reptile? ,templated,desert|desert|desert,These lizards are well adapted to desert conditions|These lizards are well adapted to desert conditions|These lizards are well adapted to desert conditions,3,Behavior|Behavior|Behavior,inaturalist,5017,True,test,2701078
Sceloporus malachiticus,https://en.wikipedia.org/wiki/Sceloporus_malachiticus,In this part of the world does this animal live?,In this part of the world does this animal live?,templated,Central America.|Central America|Central America,"green spiny lizard, is a species of small lizard in the Phrynosomatidae family, native to Central America.|green spiny lizard, is a species of small lizard in the Phrynosomatidae family, native to Central America.|green spiny lizard, is a species of small lizard in the Phrynosomatidae family, native to Central America.",0,Sceloporus malachiticus|Sceloporus malachiticus|Sceloporus malachiticus,inaturalist,5052,True,test,2777005
Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,In this reptile venomous?,In this reptile venomous?,templated,No|no|No,black snake – is a non-venomous species|black snake – is a non-venomous species of Colubridae|black snake – is a non-venomous species,0,Pantherophis obsoletus|Pantherophis obsoletus|Pantherophis obsoletus,inaturalist,4949,False,test,2706094
Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,What does this reptile eat?,What does this reptile eat?,templated,"mice, voles, and rats,|mice, voles, and rats| mice, voles, and rats","Though they will often consume mice, voles, and rats|Though they will often consume mice, voles, and rats|Though they will often consume mice, voles, and rats",6,Feeding|Feeding|Feeding,inaturalist,4949,False,test,2773669
Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,In this part of the world does this animal live?,In this part of the world does this animal live?,templated,central North America|central North America|central North America.,black snake – is a non-venomous species of Colubridae found in central North America|found in central North America|black snake – is a non-venomous species of Colubridae found in central North America.,0,Pantherophis obsoletus|Pantherophis obsoletus|Pantherophis obsoletus,inaturalist,4949,False,test,2708751
Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,How large does this animal become typically?,How large does this animal become typically?,templated,106.5–183 cm |106.5–183 cm|106.5–183 cm,"Adults of Pantherophis obsoletus can become quite large, with a reported typical total length (including tail) of 106.5–183 cm (3 ft 6 in – 6 ft 0 in)|Adults of Pantherophis obsoletus can become quite large, with a reported typical total length (including tail) of 106.5–183 cm (3 ft 6 in – 6 ft 0 in)|Adults of Pantherophis obsoletus can become quite large, with a reported typical total length (including tail) of 106.5–183 cm (3 ft 6 in – 6 ft 0 in)",3,Description|Description|Description,inaturalist,4949,False,test,2707766
Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,"What is the habitat of this reptile? (e.g. swamp, mountain, desert etc.)",What is the habitat of this reptile? ,templated,"bayou, prairie, rock outcrops, wooded areas| bayou, prairie, rock outcrops, wooded areas|bayou, prairie,rock outcrops,wooded areas","They have adapted to a variety of habitats, including bayou, prairie, and rock outcrops, but they seem to have a particular preference for wooded areas, especially oak trees|They have adapted to a variety of habitats, including bayou, prairie, and rock outcrops, but they seem to have a particular preference for wooded areas, especially oak trees|They have adapted to a variety of habitats, including bayou, prairie, and rock outcrops, but they seem to have a particular preference for wooded areas, especially oak trees.",2,Habitat|Habitat|Habitat,inaturalist,4949,False,test,2701566
Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,When is the mating period?,When is the mating period?,templated,"May and June|May, june| May and June",Mating takes place in late May and early June|Mating takes place in late May and early June|Mating takes place in late May and early June,7,Reproduction|Reproduction|Reproduction,inaturalist,4949,False,test,2701898
